zinc_id,name,smiles,catalog
19929645,,Nc1cc(S(N)(=O)=O)cnc1N,ZINC20
60231332,,O=C1CS(=O)(=O)C1,ZINC20
2579083,,C[C@H](N)C(=O)N[C@@H](C)C(N)=O,ZINC20
150027995,,C[S@](=O)C[C@H](O)CN,ZINC20
211858069,,NC1[C@H]2CS(=O)(=O)C[C@H]12,ZINC20
2042820,,C[C@](N)(CO)C(=O)O,ZINC20
5712802,,Cn1c(O)c(C=O)c(=O)n(C)c1=O,ZINC20
13543680,,O[C@H]1[C@@H](O)[C@H]2CO[C@H](O2)[C@@H]1O,ZINC20
61797544,,CN1CCN(CCCN)C(=O)C1=O,ZINC20
82524080,,CN(C)[C@@H]1CNC[C@@H]1O,ZINC20
4538115,,CN1C(=O)C[C@H](O)C1=O,ZINC20
32496996,,O=S1(=O)C[C@H]2NCCN[C@H]2C1,ZINC20
215369758,,NC(=O)C[C@]1(O)CCCNC1,ZINC20
232391587,,COC[C@H](ON)C(=O)O,ZINC20
40448187,,C[C@H]1CNC(NN)=N1,ZINC20
2456218,,O=C(O)C(=O)N1CCNCC1,ZINC20
14501496,,COC(=O)[C@H]1C[C@@H](O)C(=O)N1,ZINC20
35034910,,O=C(O)[C@@H]1C[C@H](P(=O)(O)O)CN1,ZINC20
39115056,,O=C(O)[C@H]1Cn2c(n[nH]c2=O)CN1,ZINC20
40442818,,NCCNC(=O)N1CCOCC1,ZINC20
3860714,,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,ZINC20
4384386,,O=C(O)CN1CC(=O)NC1=O,ZINC20
95347908,,NC(=O)[C@H](O)CC(=O)O,ZINC20
104583042,,N[C@H]1C(=O)NC[C@@H]1O,ZINC20
